route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCESN-1998130,000070,OCESN13143F730459:2022-02-14T09:22:38Z,13143,1,,
OCESN-1998130,000073,OCESN13143F730604:2022-02-14T09:22:38Z,13143,1,,
OCESN-1998130,000074,OCESN13143F743875:2022-02-14T09:22:38Z,13143,1,,
OCESN-1998130,000068,OCESN13144F549290:2022-03-10T20:29:31Z,13144,0,,
OCESN-1998130,000075,OCESN13144F723927:2022-03-04T20:33:16Z,13144,0,,
OCESN-1998130,000069,OCESN13144F730552:2022-03-04T01:43:16Z,13144,0,,
OCESN-1998130,000041,OCESN13144F730558:2022-02-14T09:22:38Z,13144,0,,
OCESN-1998130,000070,OCESN13144F730640:2022-02-14T09:22:38Z,13144,0,,
OCESN-1998130,000071,OCESN13145F549257:2022-03-10T20:29:31Z,13145,1,,
OCESN-1998130,000072,OCESN13145F723268:2022-02-24T20:40:14Z,13145,1,,
OCESN-1998130,000042,OCESN13145F730469:2022-03-04T20:33:16Z,13145,1,,
OCESN-1998130,000041,OCESN13145F730523:2022-02-14T09:22:38Z,13145,1,,
OCESN-1998130,000068,OCESN13146F549236:2022-03-10T20:29:31Z,13146,0,,
OCESN-1998130,000075,OCESN13146F724061:2022-03-04T20:33:16Z,13146,0,,
OCESN-1998130,000041,OCESN13146F730512:2022-02-14T09:22:38Z,13146,0,,
OCESN-1998130,000045,OCESN13146F730513:2022-02-14T09:22:38Z,13146,0,,
OCESN-1998130,000069,OCESN13146F730566:2022-03-04T01:43:16Z,13146,0,,
OCESN-1998130,000047,OCESN13146F743902:2022-02-14T09:22:38Z,13146,0,,
OCESN-1998130,000076,OCESN13147F549238:2022-03-10T20:29:31Z,13147,1,,
OCESN-1998130,000042,OCESN13147F723445:2022-03-04T20:33:16Z,13147,1,,
OCESN-1998130,000072,OCESN13147F730474:2022-02-24T20:40:14Z,13147,1,,
OCESN-1998130,000073,OCESN13147F730494:2022-02-14T09:22:38Z,13147,1,,
OCESN-1998130,000074,OCESN13147F743913:2022-02-14T09:22:38Z,13147,1,,
OCESN-1998130,000068,OCESN13148F549247:2022-03-10T20:29:31Z,13148,0,,
OCESN-1998130,000069,OCESN13148F721671:2022-03-04T01:43:16Z,13148,0,,
OCESN-1998130,000045,OCESN13148F730478:2022-02-14T09:22:38Z,13148,0,,
OCESN-1998130,000047,OCESN13148F743647:2022-02-14T09:22:38Z,13148,0,,
OCESN-1998130,000050,OCESN13148F764056:2022-03-04T20:33:16Z,13148,0,,
OCESN-1998130,000071,OCESN13149F568313:2022-03-10T20:29:31Z,13149,1,,
OCESN-1998130,000072,OCESN13149F713091:2022-02-24T20:40:14Z,13149,1,,
OCESN-1998130,000042,OCESN13149F730491:2022-03-04T20:33:16Z,13149,1,,
OCESN-1998130,000041,OCESN13149F730695:2022-02-14T09:22:38Z,13149,1,,
OCESN-1998130,000077,OCESN13150F549242:2022-03-10T20:29:31Z,13150,0,,
OCESN-1998130,000063,OCESN13150F723563:2022-03-04T01:43:16Z,13150,0,,
OCESN-1998130,000045,OCESN13150F730574:2022-02-14T09:22:38Z,13150,0,,
OCESN-1998130,000047,OCESN13150F743918:2022-02-14T09:22:38Z,13150,0,,
OCESN-1998130,000078,OCESN13150F763853:2022-03-04T20:33:16Z,13150,0,,
OCESN-1998130,000049,OCESN13151F540587:2022-03-09T20:30:55Z,13151,1,,
OCESN-1998130,000045,OCESN13151F723702:2022-02-14T09:22:38Z,13151,1,,
OCESN-1998130,000079,OCESN13151F730530:2022-03-04T20:33:16Z,13151,1,,
OCESN-1998130,000080,OCESN13151F743962:2022-02-25T20:43:50Z,13151,1,,
OCESN-1998130,000064,OCESN13151F763912:2022-03-04T20:33:16Z,13151,1,,
OCESN-1998130,000081,OCESN13151F766513:2022-03-02T20:32:55Z,13151,1,,
OCESN-1998130,000019,OCESN13152F549364:2022-03-10T20:29:31Z,13152,0,,
OCESN-1998130,000063,OCESN13152F713446:2022-03-04T01:43:16Z,13152,0,,
OCESN-1998130,000070,OCESN13152F730505:2022-02-14T09:22:38Z,13152,0,,
OCESN-1998130,000078,OCESN13152F764214:2022-03-04T20:33:16Z,13152,0,,
OCESN-1998130,000057,OCESN13153F549261:2022-03-10T20:29:31Z,13153,1,,
OCESN-1998130,000080,OCESN13153F711485:2022-03-01T20:49:34Z,13153,1,,
OCESN-1998130,000070,OCESN13153F730477:2022-02-14T09:22:38Z,13153,1,,
OCESN-1998130,000050,OCESN13153F764065:2022-03-04T20:33:16Z,13153,1,,
OCESN-1998130,000082,OCESN13154F722721:2022-03-10T20:29:31Z,13154,0,,
OCESN-1998130,000070,OCESN13154F730493:2022-02-14T09:22:38Z,13154,0,,
OCESN-1998130,000064,OCESN13154F763899:2022-03-04T20:33:16Z,13154,0,,
OCESN-1998130,000050,OCESN13154F764384:2022-03-04T20:33:16Z,13154,0,,
OCESN-1998130,000057,OCESN13155F540871:2022-03-10T20:29:31Z,13155,1,,
OCESN-1998130,000083,OCESN13155F712363:2022-02-25T20:43:50Z,13155,1,,
OCESN-1998130,000084,OCESN13155F730529:2022-02-24T20:40:14Z,13155,1,,
OCESN-1998130,000070,OCESN13155F730588:2022-02-17T20:29:31Z,13155,1,,
OCESN-1998130,000085,OCESN13155F763875:2022-03-10T20:29:31Z,13155,1,,
OCESN-1998130,000064,OCESN13155F763926:2022-03-04T20:33:16Z,13155,1,,
OCESN-1998130,000002,OCESN13157F711888:2022-03-08T20:46:18Z,13157,1,,
OCESN-1998130,000034,OCESN13160F540602:2022-03-08T20:46:18Z,13160,0,,
OCESN-1998130,000033,OCESN13160F714480:2022-03-01T20:49:34Z,13160,0,,
OCESN-1998130,000039,OCESN13161F645823:2022-02-14T09:22:38Z,13161,1,,
OCESN-1998130,000038,OCESN13161F760139:2022-02-23T20:44:24Z,13161,1,,
OCESN-1998130,000044,OCESN13162F568559:2022-02-14T09:22:38Z,13162,0,,
OCESN-1998130,000046,OCESN13162F712273:2022-03-02T20:32:55Z,13162,0,,
OCESN-1998130,000070,OCESN13162F730508:2022-02-14T09:22:38Z,13162,0,,
OCESN-1998130,000050,OCESN13162F763940:2022-03-09T20:30:55Z,13162,0,,
OCESN-1998130,000044,OCESN13163F567229:2022-03-09T20:30:55Z,13163,1,,
OCESN-1998130,000056,OCESN13163F643343:2022-02-23T20:44:24Z,13163,1,,
OCESN-1998130,000049,OCESN13163F735374:2022-02-14T09:22:38Z,13163,1,,
OCESN-1998130,000034,OCESN13164F541283:2022-03-08T20:46:18Z,13164,0,,
OCESN-1998130,000037,OCESN13164F712054:2022-03-01T20:49:34Z,13164,0,,
OCESN-1998130,000071,OCESN13165F540590:2022-03-10T20:29:31Z,13165,1,,
OCESN-1998130,000038,OCESN13165F567820:2022-03-08T20:46:18Z,13165,1,,
OCESN-1998130,000086,OCESN13165F724301:2022-03-04T20:33:16Z,13165,1,,
OCESN-1998130,000087,OCESN13165F724302:2022-02-14T09:22:38Z,13165,1,,
OCESN-1998130,000072,OCESN13165F730470:2022-02-24T20:40:14Z,13165,1,,
OCESN-1998130,000039,OCESN13165F730471:2022-02-22T20:26:28Z,13165,1,,
OCESN-1998130,000034,OCESN13166F540686:2022-03-08T20:46:18Z,13166,0,,
OCESN-1998130,000088,OCESN13166F645857:2022-02-28T20:41:16Z,13166,0,,
OCESN-1998130,000089,OCESN13166F712200:2022-03-01T20:49:34Z,13166,0,,
OCESN-1998130,000038,OCESN13167F540663:2022-03-08T20:46:18Z,13167,1,,
OCESN-1998130,000068,OCESN13168F569877:2022-02-14T09:22:38Z,13168,0,,
OCESN-1998130,000075,OCESN13168F712721:2022-03-04T20:33:16Z,13168,0,,
